OBJECTID,Australia_test2_CNTRY_NAME,Australia_test2_ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
32,Netherlands Antilles,32,3779,0.06560764,0,279.1085205,279.1085205,3.926546483,11.5567627,14838.41916
13,New Caledonia,13,94487,1.640399332,0,105.5812149,105.5812149,0.134917378,1.60324891,12747.93833
17,New Zealand,17,1676364,29.10354213,0,163.6761627,163.6761627,0.12230896,1.554486057,205034.338
15,New Zealand,15,3977,0.06904514,0,0,0,0,0,0
33,Nicaragua,33,614511,10.66859392,0,66.19789124,66.19789124,0.089088021,1.129726474,54745.56877
80,Niger,80,5796770,100.6383697,0,448.0184937,448.0184937,0.003343137,0.367169573,19379.39755
81,Nigeria,81,4313530,74.88767481,0,9529.981445,9529.981445,0.190502191,9.790097975,821736.9178
14,Niue,14,1235,0.021440973,0,0.850961804,0.850961804,0.014536231,0.06632956,17.95224572
14,Norfolk Island,14,262,0.004548611,0,0.232656419,0.232656419,0.006278735,0.03241291,1.645028517
17,North Korea,17,744134,12.91899326,0,73.71831512,73.71831512,0.009875629,0.207600722,7348.791594
9,Northern Mariana Islands,9,1148,0.019930556,0,65.00415039,65.00415039,1.687279902,3.821059804,1936.997327
83,Norway,83,3452394,59.93739679,0,1120.008301,1120.008301,0.378152708,3.803111765,1305532.142
78,Oman,78,1541362,26.75975737,0,8122.50293,8122.50293,0.564576256,9.949096294,870216.3873
29,Pacific Islands (Palau),29,1661,0.028836806,0,21.25374603,21.25374603,0.058592254,0.670262654,97.32173336
28,Pakistan,28,4726790,82.0623277,0,342.6542358,342.6542358,0.179528745,1.602306027,848594.6744
34,Panama,34,350334,6.082187597,0,238.7727203,238.7727203,0.289706656,2.608503272,101494.0918
18,Papua New Guinea,18,2175928,37.77652838,0,374.9417725,374.9417725,0.013054574,0.823802042,28405.81307
26,Paracel Islands,26,10,0.000173611,0,2.957291842,2.957291842,0.578108501,1.156602288,5.781085014
16,Paraguay,16,524825,9.111545285,0,36.51955414,36.51955414,0.005237065,0.258447452,2748.542861
24,Paraguay,24,1503226,26.09767403,0,167.234314,167.234314,0.221551954,2.580768872,333042.6581
18,Peru,18,6134263,106.4976232,-0.045625776,965.0202637,965.0658894,0.079623471,1.549818538,488431.3116
31,Philippines,31,1399687,24.30012192,-0.12711218,920.5715332,920.6986454,0.203264659,2.121976242,284506.9005
17,Pitcairn Islands,17,245,0.004253472,0,0,0,0,0,0
85,Poland,85,2356461,40.9107819,0,4178.178711,4178.178711,0.930024015,7.39563183,2191565.319
86,Portugal,86,555343,9.641371682,0,190.8994904,190.8994904,2.198377218,8.171895724,1220853.399
35,Puerto Rico,35,45010,0.781423624,0,139.3811646,139.3811646,4.711296203,9.337861797,212055.4421
88,Qatar,88,57292,0.994652794,0,2803.843506,2803.843506,11.47763195,33.52790591,657576.4895
25,Reunion,25,13233,0.229739587,0,100.1404648,100.1404648,1.642752587,4.951097295,21738.54498
89,Romania,89,1583928,27.49875044,0,264.063324,264.063324,0.412245231,3.080685826,652966.7644
36,Russia,36,1355511,23.53317746,0,26.85513687,26.85513687,0.001320795,0.080106806,1790.352137
90,Russia,90,34712395,602.6457562,0,12523.10645,12523.10645,0.347831099,8.992122443,12074050.5
32,Russia,32,127789770,2218.572431,0,21637.66211,21637.66211,0.080239674,7.592166045,10253809.54
26,Rwanda,26,117702,2.043437533,0,47.42855453,47.42855453,0.095998323,0.997441693,11299.19457
96,San Marino,96,389,0.006753472,0,83.73191071,83.73191071,10.48172002,12.96719328,4077.389087
107,Sao Tome and Principe,107,5349,0.092864585,0,22.24077606,22.24077606,0.263369391,1.309473622,1408.762871
91,Saudi Arabia,91,10012208,173.8230583,0,1600.981934,1600.981934,0.754625564,7.302839795,7555468.112
93,Senegal,93,946252,16.42798637,0,171.1945801,171.1945801,0.039866079,0.829224372,37723.35697
99,Serbia,99,570042,9.896562658,0,236.1283264,236.1283264,0.936054128,4.67192966,533590.1672
27,Seychelles,27,1782,0.0309375,0,36.43178177,36.43178177,0.8936036,2.908074673,1592.401615
